"State","Day","Hospitalizations","ICU","Ventilators"
"West Virginia",2020-04-04,52,11,8
"West Virginia",2020-04-05,64,14,11
"West Virginia",2020-04-06,81,17,14
"West Virginia",2020-04-07,97,21,17
"West Virginia",2020-04-08,121,26,21
"West Virginia",2020-04-09,149,32,26
"West Virginia",2020-04-10,182,39,31
"West Virginia",2020-04-11,219,46,37
"West Virginia",2020-04-12,262,55,44
"West Virginia",2020-04-13,310,64,51
"West Virginia",2020-04-14,364,75,60
"West Virginia",2020-04-15,422,86,69
"West Virginia",2020-04-16,487,98,78
"West Virginia",2020-04-17,555,110,88
"West Virginia",2020-04-18,627,123,99
"West Virginia",2020-04-19,703,136,109
"West Virginia",2020-04-20,780,149,119
"West Virginia",2020-04-21,859,162,129
"West Virginia",2020-04-22,938,174,139
"West Virginia",2020-04-23,1015,186,148
"West Virginia",2020-04-24,1090,196,157
"West Virginia",2020-04-25,1161,205,164
"West Virginia",2020-04-26,1227,213,170
"West Virginia",2020-04-27,1288,220,176
"West Virginia",2020-04-28,1341,225,180
"West Virginia",2020-04-29,1386,228,182
"West Virginia",2020-04-30,1423,230,184
"West Virginia",2020-05-01,1450,230,184
"West Virginia",2020-05-02,1468,228,183
"West Virginia",2020-05-03,1478,225,180
"West Virginia",2020-05-04,1478,221,177
"West Virginia",2020-05-05,1469,216,173
"West Virginia",2020-05-06,1452,209,167
"West Virginia",2020-05-07,1427,202,162
"West Virginia",2020-05-08,1395,194,155
"West Virginia",2020-05-09,1357,186,148
"West Virginia",2020-05-10,1313,177,141
"West Virginia",2020-05-11,1266,168,134
"West Virginia",2020-05-12,1214,158,127
"West Virginia",2020-05-13,1160,149,119
"West Virginia",2020-05-14,1104,140,112
"West Virginia",2020-05-15,1046,131,105
"West Virginia",2020-05-16,988,122,98
"West Virginia",2020-05-17,931,114,91
"West Virginia",2020-05-18,874,106,85
"West Virginia",2020-05-19,819,98,78
"West Virginia",2020-05-20,765,91,73
"West Virginia",2020-05-21,712,84,67
"West Virginia",2020-05-22,663,78,62
"West Virginia",2020-05-23,616,72,57
