State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.0,1.0
Massachusetts,New Jersey,2020-04-09,104.0,ode,0.19999999999999996,0.0,1.0
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.0,1.0
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.0,1.0
Mississippi,Louisiana,2020-04-09,48.0,ode,0.19999999999999996,0.0,1.0
Massachusetts,New York,2020-04-09,45.0,ode,0.19999999999999996,0.0,1.0
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.0,1.0
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.0,1.0
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.0,1.0
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.0,1.0
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.0,1.0
Connecticut,New Jersey,2020-04-09,7.0,ode,0.19999999999999996,0.0,1.0
Federal,New York,2020-04-12,404.0,ode,0.19999999999999996,0.0,1.0
Federal,New Jersey,2020-04-12,46.0,ode,0.19999999999999996,0.0,1.0
Federal,New York,2020-04-13,195.0,ode,0.19999999999999996,0.0,1.0
Federal,Louisiana,2020-04-13,174.0,ode,0.19999999999999996,0.0,1.0
Federal,New Jersey,2020-04-13,76.0,ode,0.19999999999999996,0.0,1.0
Federal,New Jersey,2020-04-14,402.0,ode,0.19999999999999996,0.0,1.0
Federal,Louisiana,2020-04-21,11.0,ode,0.19999999999999996,0.0,1.0
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.05,0.5
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.05,0.5
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.05,0.5
Michigan,New York,2020-04-09,187.0,ode,0.19999999999999996,0.05,0.5
Indiana,New York,2020-04-09,153.0,ode,0.19999999999999996,0.05,0.5
Massachusetts,New York,2020-04-09,149.0,ode,0.19999999999999996,0.05,0.5
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.05,0.5
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.05,0.5
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.05,0.5
Kentucky,New Jersey,2020-04-09,95.0,ode,0.19999999999999996,0.05,0.5
Mississippi,Louisiana,2020-04-09,77.0,ode,0.19999999999999996,0.05,0.5
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.05,0.5
Arkansas,Louisiana,2020-04-09,45.0,ode,0.19999999999999996,0.05,0.5
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.5
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.5
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.5
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.05,0.5
Georgia,New Jersey,2020-04-09,16.0,ode,0.19999999999999996,0.05,0.5
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.05,0.5
Kentucky,New York,2020-04-09,3.0,ode,0.19999999999999996,0.05,0.5
Federal,New York,2020-04-12,179.0,ode,0.19999999999999996,0.05,0.5
Federal,New Jersey,2020-04-12,46.0,ode,0.19999999999999996,0.05,0.5
Federal,New York,2020-04-13,149.0,ode,0.19999999999999996,0.05,0.5
Federal,New Jersey,2020-04-13,76.0,ode,0.19999999999999996,0.05,0.5
Federal,New Jersey,2020-04-14,155.0,ode,0.19999999999999996,0.05,0.5
Federal,New York,2020-04-14,47.0,ode,0.19999999999999996,0.05,0.5
Federal,Louisiana,2020-04-14,23.0,ode,0.19999999999999996,0.05,0.5
