utilization,only_send_excess,minimum_stock_fraction,transfer_count,shortfall
0.4,true,0.7,25,148.5999999999999
0.4,true,0.8,29,148.5999999999999
0.4,true,0.9,45,346.60000000008347
0.4,true,1,0,88568.19999999998
0.4,false,0.1,33,134.5999999999999
0.4,false,0.2,29,134.5999999999999
0.4,false,0.3,38,134.5999999999999
0.4,false,0.4,27,134.5999999999999
0.4,false,0.5,28,134.5999999999999
0.4,false,0.6,29,142.5999999999999
0.4,false,0.7,32,148.5999999999999
0.4,false,0.8,30,148.5999999999999
0.4,false,0.9,46,346.5999999999999
0.4,false,1,0,88568.19999999998
0.5,true,0.1,34,1216
0.5,true,0.2,26,1224
0.5,true,0.3,22,1226
0.5,true,0.4,25,1226
0.5,true,0.5,26,1232
0.5,true,0.6,24,1233.0000003171067
0.5,true,0.7,28,1239
0.5,true,0.8,39,1266.0000000000002
0.5,true,0.9,46,18302.10000000001
0.5,true,1,0,116880
0.5,false,0.1,38,1216
0.5,false,0.2,32,1224
0.5,false,0.3,29,1226
0.5,false,0.4,25,1226
0.5,false,0.5,25,1232
0.5,false,0.6,30,1239
0.5,false,0.7,32,1239
0.5,false,0.8,42,1266
0.5,false,0.9,44,18302.10000000001
0.5,false,1,0,116880
0.6,true,0.1,35,2964.8000003642596
0.6,true,0.2,30,2964.8000003807706
0.6,true,0.3,28,2964.8000003720003
0.6,true,0.4,29,2970.7999999999993
0.6,true,0.5,30,2970.7999999999993
0.6,true,0.6,34,2971.7999999999993
0.6,true,0.7,42,3139.7999999999993
0.6,true,0.8,43,8911.83999999999
0.6,true,0.9,42,58087.52
0.6,true,1,0,150881.6
0.6,false,0.1,39,2968.7999999999993
0.6,false,0.2,30,2969.7999999999993
0.6,false,0.3,36,2969.7999999999984
0.6,false,0.4,31,2970.7999999999993
0.6,false,0.5,31,2970.7999999999993
0.6,false,0.6,35,2971.7999999999993
0.6,false,0.7,44,3139.7999999999993
0.6,false,0.8,46,8911.839999999998
0.6,false,0.9,48,58087.52
0.6,false,1,0,150881.6
0.7,true,0.1,107,4802.600000085913
0.7,true,0.2,73,4830.600000707039
0.7,true,0.3,70,4830.600000617423
0.7,true,0.4,64,4830.600000692095
0.7,true,0.5,70,5014.5999999999985
0.7,true,0.6,63,5096.60000000093
0.7,true,0.7,53,23244.63999999998
0.7,true,0.8,55,62331.64000000003
0.7,true,0.9,45,118968.42
0.7,true,1,0,196819.09936980365
0.7,false,0.1,114,4802.5999999999985
0.7,false,0.2,86,4828.5999999999985
0.7,false,0.3,73,4826.5999999999985
0.7,false,0.4,64,4826.599999999999
0.7,false,0.5,78,5014.5999999999985
0.7,false,0.6,74,5100.5999999999985
0.7,false,0.7,52,23248.639999999963
0.7,false,0.8,45,62331.63999999996
0.7,false,0.9,47,118968.41999999994
0.7,false,1,0,196819.10000000003
0.8,true,0.1,279,26970.7400000566
0.8,true,0.2,190,29137.359999975888
0.8,true,0.3,146,36574.10000001773
0.8,true,0.4,142,49779.55999999633
0.8,true,0.5,113,65990.50000000006
0.8,true,0.6,92,87800.60000000003
0.8,true,0.7,57,118506.32000000008
0.8,true,0.8,56,157354.12000000005
0.8,true,0.9,54,203308.30000000002
0.8,true,1,0,260672.9988195912
0.8,false,0.1,178,26970.74000000005
0.8,false,0.2,136,29134.36000000006
0.8,false,0.3,89,36574.10000000007
0.8,false,0.4,119,49779.560000000056
0.8,false,0.5,104,65978.30000000006
0.8,false,0.6,88,87800.60000000002
0.8,false,0.7,62,118506.32000000008
0.8,false,0.8,56,157342.12000000005
0.8,false,0.9,49,203304.10000000006
0.8,false,1,0,260673
0.9,true,0.1,350,242244.58999998533
0.9,true,0.2,273,243689.8000000686
0.9,true,0.3,212,247691.57999986043
0.9,true,0.4,157,254169.06000000198
0.9,true,0.5,126,264149.5999999963
0.9,true,0.6,103,278543.70000000007
0.9,true,0.7,88,295683.0300003508
0.9,true,0.8,76,315425.19999984896
0.9,true,0.9,63,338477.3800001576
0.9,true,1,0,366629.19895109034
0.9,false,0.1,85,242213.39000000007
0.9,false,0.2,118,243679.80000000005
0.9,false,0.3,102,247681.58000000002
0.9,false,0.4,85,254173.46000000014
0.9,false,0.5,72,264145.60000000003
0.9,false,0.6,63,278524.1000000001
0.9,false,0.7,67,295683.0299999999
0.9,false,0.8,56,315389.7800000002
0.9,false,0.9,47,338467.4600000001
0.9,false,1,0,366629.2000000001
1,true,0.1,0,635066
1,true,0.2,0,635066
1,true,0.3,0,635066
1,true,0.4,0,635066
1,true,0.5,0,635066
1,true,0.6,0,635066
1,true,0.7,0,635066
1,true,0.8,0,635066
1,true,0.9,0,635066
1,true,1,0,635066
1,false,0.1,0,635066
1,false,0.2,0,635066
1,false,0.3,0,635066
1,false,0.4,0,635066
1,false,0.5,0,635066
1,false,0.6,0,635066
1,false,0.7,0,635066
1,false,0.8,0,635066
1,false,0.9,0,635066
1,false,1,0,635066
