State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection,Lasso
Florida,New Jersey,2020-04-09,197.0,ihme,0.09999999999999998,0.1,0.5,0.01
Pennsylvania,Massachusetts,2020-04-09,152.0,ihme,0.09999999999999998,0.1,0.5,0.01
Ohio,Massachusetts,2020-04-09,125.0,ihme,0.09999999999999998,0.1,0.5,0.01
Georgia,New Jersey,2020-04-09,115.0,ihme,0.09999999999999998,0.1,0.5,0.01
Illinois,New York,2020-04-09,115.0,ihme,0.09999999999999998,0.1,0.5,0.01
North Carolina,New Jersey,2020-04-09,98.0,ihme,0.09999999999999998,0.1,0.5,0.01
Indiana,New York,2020-04-09,77.0,ihme,0.09999999999999998,0.1,0.5,0.01
Arizona,New York,2020-04-09,75.0,ihme,0.09999999999999998,0.1,0.5,0.01
Missouri,New York,2020-04-09,74.0,ihme,0.09999999999999998,0.1,0.5,0.01
Virginia,New Jersey,2020-04-09,71.0,ihme,0.09999999999999998,0.1,0.5,0.01
Tennessee,Connecticut,2020-04-09,70.0,ihme,0.09999999999999998,0.1,0.5,0.01
Texas,Massachusetts,2020-04-09,66.0,ihme,0.09999999999999998,0.1,0.5,0.01
Louisiana,New Jersey,2020-04-09,57.0,ihme,0.09999999999999998,0.1,0.5,0.01
South Carolina,New Jersey,2020-04-09,53.0,ihme,0.09999999999999998,0.1,0.5,0.01
Colorado,New York,2020-04-09,52.0,ihme,0.09999999999999998,0.1,0.5,0.01
Maryland,New Jersey,2020-04-09,50.0,ihme,0.09999999999999998,0.1,0.5,0.01
Florida,Rhode Island,2020-04-09,49.0,ihme,0.09999999999999998,0.1,0.5,0.01
Kentucky,Massachusetts,2020-04-09,49.0,ihme,0.09999999999999998,0.1,0.5,0.01
Alabama,New Jersey,2020-04-09,48.0,ihme,0.09999999999999998,0.1,0.5,0.01
Washington,New York,2020-04-09,47.0,ihme,0.09999999999999998,0.1,0.5,0.01
Minnesota,New York,2020-04-09,44.0,ihme,0.09999999999999998,0.1,0.5,0.01
Wisconsin,New York,2020-04-09,44.0,ihme,0.09999999999999998,0.1,0.5,0.01
Nevada,New York,2020-04-09,43.0,ihme,0.09999999999999998,0.1,0.5,0.01
Mississippi,New Jersey,2020-04-09,39.0,ihme,0.09999999999999998,0.1,0.5,0.01
Oklahoma,Massachusetts,2020-04-09,39.0,ihme,0.09999999999999998,0.1,0.5,0.01
Arkansas,Massachusetts,2020-04-09,33.0,ihme,0.09999999999999998,0.1,0.5,0.01
Utah,New York,2020-04-09,29.0,ihme,0.09999999999999998,0.1,0.5,0.01
Iowa,New York,2020-04-09,28.0,ihme,0.09999999999999998,0.1,0.5,0.01
Oregon,New York,2020-04-09,28.0,ihme,0.09999999999999998,0.1,0.5,0.01
West Virginia,Connecticut,2020-04-09,27.0,ihme,0.09999999999999998,0.1,0.5,0.01
Kansas,New York,2020-04-09,26.0,ihme,0.09999999999999998,0.1,0.5,0.01
Nebraska,New York,2020-04-09,25.0,ihme,0.09999999999999998,0.1,0.5,0.01
New Mexico,New York,2020-04-09,19.0,ihme,0.09999999999999998,0.1,0.5,0.01
Hawaii,New York,2020-04-09,13.0,ihme,0.09999999999999998,0.1,0.5,0.01
Ohio,New York,2020-04-09,13.0,ihme,0.09999999999999998,0.1,0.5,0.01
Tennessee,New Jersey,2020-04-09,12.0,ihme,0.09999999999999998,0.1,0.5,0.01
Delaware,New Jersey,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.01
Maine,Massachusetts,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.01
New Hampshire,Massachusetts,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.01
North Dakota,New York,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.01
Idaho,New York,2020-04-09,10.0,ihme,0.09999999999999998,0.1,0.5,0.01
Montana,New York,2020-04-09,9.0,ihme,0.09999999999999998,0.1,0.5,0.01
South Dakota,New York,2020-04-09,9.0,ihme,0.09999999999999998,0.1,0.5,0.01
Wyoming,New York,2020-04-09,6.0,ihme,0.09999999999999998,0.1,0.5,0.01
Alaska,New York,2020-04-09,5.0,ihme,0.09999999999999998,0.1,0.5,0.01
Vermont,Massachusetts,2020-04-09,5.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,New Jersey,2020-04-12,225.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,New Jersey,2020-04-13,225.0,ihme,0.09999999999999998,0.1,0.5,0.01
Michigan,New Jersey,2020-04-13,33.0,ihme,0.09999999999999998,0.1,0.5,0.01
Michigan,Maryland,2020-04-13,6.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Connecticut,2020-04-14,192.0,ihme,0.09999999999999998,0.1,0.5,0.01
Michigan,Maryland,2020-04-14,55.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-14,33.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-15,104.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,New Jersey,2020-04-15,65.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Connecticut,2020-04-15,53.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,North Dakota,2020-04-15,3.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-16,82.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Connecticut,2020-04-16,58.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,New Jersey,2020-04-16,45.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Rhode Island,2020-04-16,29.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,North Dakota,2020-04-16,6.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Alaska,2020-04-16,5.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-17,151.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Connecticut,2020-04-17,51.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Rhode Island,2020-04-17,13.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,North Dakota,2020-04-17,7.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Alaska,2020-04-17,3.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-18,101.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Connecticut,2020-04-18,68.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Rhode Island,2020-04-18,32.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,North Dakota,2020-04-18,17.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Alaska,2020-04-18,7.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Connecticut,2020-04-19,111.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Rhode Island,2020-04-19,40.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-19,23.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,North Dakota,2020-04-19,8.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Maryland,2020-04-19,7.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Connecticut,2020-04-20,60.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-20,26.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Massachusetts,2020-04-21,10.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,Rhode Island,2020-04-23,19.0,ihme,0.09999999999999998,0.1,0.5,0.01
Federal,North Dakota,2020-04-26,2.0,ihme,0.09999999999999998,0.1,0.5,0.01
California,New York,2020-04-09,350.0,ihme,0.09999999999999998,0.1,0.5,0.02
Texas,Connecticut,2020-04-09,246.0,ihme,0.09999999999999998,0.1,0.5,0.02
Florida,New Jersey,2020-04-09,197.0,ihme,0.09999999999999998,0.1,0.5,0.02
Pennsylvania,Massachusetts,2020-04-09,152.0,ihme,0.09999999999999998,0.1,0.5,0.02
Ohio,Massachusetts,2020-04-09,125.0,ihme,0.09999999999999998,0.1,0.5,0.02
Georgia,New Jersey,2020-04-09,115.0,ihme,0.09999999999999998,0.1,0.5,0.02
Illinois,New York,2020-04-09,115.0,ihme,0.09999999999999998,0.1,0.5,0.02
North Carolina,New Jersey,2020-04-09,98.0,ihme,0.09999999999999998,0.1,0.5,0.02
Indiana,New York,2020-04-09,77.0,ihme,0.09999999999999998,0.1,0.5,0.02
Arizona,New York,2020-04-09,75.0,ihme,0.09999999999999998,0.1,0.5,0.02
Missouri,New York,2020-04-09,74.0,ihme,0.09999999999999998,0.1,0.5,0.02
Virginia,New Jersey,2020-04-09,71.0,ihme,0.09999999999999998,0.1,0.5,0.02
Tennessee,Connecticut,2020-04-09,70.0,ihme,0.09999999999999998,0.1,0.5,0.02
Texas,Massachusetts,2020-04-09,66.0,ihme,0.09999999999999998,0.1,0.5,0.02
Louisiana,New Jersey,2020-04-09,57.0,ihme,0.09999999999999998,0.1,0.5,0.02
South Carolina,New Jersey,2020-04-09,53.0,ihme,0.09999999999999998,0.1,0.5,0.02
Colorado,New York,2020-04-09,52.0,ihme,0.09999999999999998,0.1,0.5,0.02
Maryland,New Jersey,2020-04-09,50.0,ihme,0.09999999999999998,0.1,0.5,0.02
Florida,Rhode Island,2020-04-09,49.0,ihme,0.09999999999999998,0.1,0.5,0.02
Kentucky,Massachusetts,2020-04-09,49.0,ihme,0.09999999999999998,0.1,0.5,0.02
Alabama,New Jersey,2020-04-09,48.0,ihme,0.09999999999999998,0.1,0.5,0.02
Washington,New York,2020-04-09,47.0,ihme,0.09999999999999998,0.1,0.5,0.02
Minnesota,New York,2020-04-09,44.0,ihme,0.09999999999999998,0.1,0.5,0.02
Wisconsin,New York,2020-04-09,44.0,ihme,0.09999999999999998,0.1,0.5,0.02
Nevada,New York,2020-04-09,43.0,ihme,0.09999999999999998,0.1,0.5,0.02
Mississippi,New Jersey,2020-04-09,39.0,ihme,0.09999999999999998,0.1,0.5,0.02
Oklahoma,Massachusetts,2020-04-09,39.0,ihme,0.09999999999999998,0.1,0.5,0.02
Arkansas,Massachusetts,2020-04-09,33.0,ihme,0.09999999999999998,0.1,0.5,0.02
Utah,New York,2020-04-09,29.0,ihme,0.09999999999999998,0.1,0.5,0.02
Iowa,New York,2020-04-09,28.0,ihme,0.09999999999999998,0.1,0.5,0.02
Oregon,New York,2020-04-09,28.0,ihme,0.09999999999999998,0.1,0.5,0.02
West Virginia,Connecticut,2020-04-09,27.0,ihme,0.09999999999999998,0.1,0.5,0.02
Kansas,New York,2020-04-09,26.0,ihme,0.09999999999999998,0.1,0.5,0.02
Nebraska,New York,2020-04-09,25.0,ihme,0.09999999999999998,0.1,0.5,0.02
New Mexico,New York,2020-04-09,19.0,ihme,0.09999999999999998,0.1,0.5,0.02
Hawaii,New York,2020-04-09,13.0,ihme,0.09999999999999998,0.1,0.5,0.02
Ohio,New York,2020-04-09,13.0,ihme,0.09999999999999998,0.1,0.5,0.02
Tennessee,New Jersey,2020-04-09,12.0,ihme,0.09999999999999998,0.1,0.5,0.02
Delaware,New Jersey,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.02
Maine,Massachusetts,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.02
New Hampshire,Massachusetts,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.02
North Dakota,New York,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.02
Idaho,New York,2020-04-09,10.0,ihme,0.09999999999999998,0.1,0.5,0.02
Montana,New York,2020-04-09,9.0,ihme,0.09999999999999998,0.1,0.5,0.02
South Dakota,New York,2020-04-09,9.0,ihme,0.09999999999999998,0.1,0.5,0.02
Wyoming,New York,2020-04-09,6.0,ihme,0.09999999999999998,0.1,0.5,0.02
Alaska,New York,2020-04-09,5.0,ihme,0.09999999999999998,0.1,0.5,0.02
Vermont,Massachusetts,2020-04-09,5.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,New Jersey,2020-04-12,225.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Connecticut,2020-04-13,132.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,New Jersey,2020-04-13,93.0,ihme,0.09999999999999998,0.1,0.5,0.02
Michigan,New Jersey,2020-04-13,33.0,ihme,0.09999999999999998,0.1,0.5,0.02
Michigan,Maryland,2020-04-13,6.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,New Jersey,2020-04-14,225.0,ihme,0.09999999999999998,0.1,0.5,0.02
Michigan,Maryland,2020-04-14,55.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Connecticut,2020-04-15,113.0,ihme,0.09999999999999998,0.1,0.5,0.02
